iter	Passed	Remaining
0	69	62591
1	138	61995
2	199	59784
3	278	62467
4	353	63274
5	421	62753
6	488	62256
7	560	62446
8	632	62614
9	704	62680
10	772	62468
11	842	62380
12	910	62142
13	982	62168
14	1054	62202
15	1125	62205
16	1192	61923
17	1261	61801
18	1331	61750
19	1401	61653
20	1469	61514
21	1540	61491
22	1613	61528
23	1683	61441
24	1749	61228
25	1818	61136
26	1889	61092
27	1961	61078
28	2025	60844
29	2095	60758
30	2250	63098
31	2390	64850
32	2473	64977
33	2556	65121
34	2647	65424
35	2730	65524
36	2810	65550
37	2881	65367
38	2954	65224
39	3031	65174
40	3109	65146
41	3189	65152
42	3273	65243
43	3353	65237
44	3435	65272
45	3516	65289
46	3597	65292
47	3678	65293
48	3750	65141
49	3818	64909
50	3885	64689
51	3956	64519
52	4024	64316
53	4093	64138
54	4166	64011
55	4242	63940
56	4313	63798
57	4392	63763
58	4466	63660
59	4536	63507
60	4612	63439
61	4684	63322
62	4757	63201
63	4831	63106
64	4905	63021
65	4978	62907
66	5055	62858
67	5131	62780
68	5206	62702
69	5280	62609
70	5354	62522
71	5424	62378
72	5496	62265
73	5570	62177
74	5646	62115
75	5716	61982
76	5787	61862
77	5855	61710
78	5926	61588
79	5998	61489
80	6067	61352
81	6136	61214
82	6207	61106
83	6274	60947
84	6342	60818
85	6412	60699
86	6479	60545
87	6547	60420
88	6628	60399
89	6701	60313
90	6782	60294
91	6859	60244
92	6937	60196
93	7010	60114
94	7090	60081
95	7166	60017
96	7240	59938
97	7310	59826
98	7383	59735
99	7453	59628
100	7524	59528
101	7598	59449
102	7666	59320
103	7737	59222
104	7806	59108
105	7877	59004
106	7942	58867
107	8015	58780
108	8081	58648
109	8150	58534
110	8218	58417
111	8286	58302
112	8353	58179
113	8422	58070
114	8490	57957
115	8559	57850
116	8628	57745
117	8695	57625
118	8762	57511
119	8836	57434
120	8904	57325
121	8971	57210
122	9031	57053
123	9115	57043
124	9191	56986
125	9271	56953
126	9349	56905
127	9429	56873
128	9498	56771
129	9580	56744
130	9659	56705
131	9739	56668
132	9819	56629
133	9904	56615
134	9980	56554
135	10057	56497
136	10126	56400
137	10291	56828
138	10372	56788
139	10440	56675
140	10503	56542
141	10574	56445
142	10642	56340
143	10710	56230
144	10781	56135
145	10841	55989
146	10915	55913
147	10992	55855
148	11075	55823
149	11152	55760
150	11231	55709
151	11295	55585
152	11364	55485
153	11425	55347
154	11501	55283
155	11581	55233
156	11649	55132
157	11721	55045
158	11790	54945
159	11864	54871
160	11933	54773
161	11991	54628
162	12052	54495
163	12113	54361
164	12170	54214
165	12231	54082
166	12295	53968
167	12352	53822
168	12411	53683
169	12467	53535
170	12539	53459
171	12599	53326
172	12657	53191
173	12717	53062
174	12786	52971
175	12854	52880
176	12911	52740
177	12983	52663
178	13042	52533
179	13100	52402
180	13160	52276
181	13218	52148
182	13282	52040
183	13339	51909
184	13398	51782
185	13460	51671
186	13520	51550
187	13577	51421
188	13637	51303
189	13714	51249
190	13792	51198
191	13858	51103
192	13927	51019
193	13995	50930
194	14063	50844
195	14145	50806
196	14233	50792
197	14297	50691
198	14364	50599
199	14433	50518
200	14501	50429
201	14564	50325
202	14626	50220
203	14694	50133
204	14765	50057
205	14841	49999
206	14917	49940
207	14980	49839
208	15043	49736
209	15103	49625
210	15168	49532
211	15240	49461
212	15316	49400
213	15392	49341
214	15456	49245
215	15519	49145
216	15577	49029
217	15637	48922
218	15696	48811
219	15759	48710
220	15816	48594
221	15878	48493
222	15949	48419
223	16020	48348
224	16157	48471
225	16219	48372
226	16283	48277
227	16342	48165
228	16400	48056
229	16461	47951
230	16521	47848
231	16588	47764
232	16685	47763
233	16754	47687
234	16825	47613
235	16889	47520
236	16953	47426
237	17020	47341
238	17085	47254
239	17155	47176
240	17222	47094
241	17293	47021
242	17377	46984
243	17441	46890
244	17506	46804
245	17579	46734
246	17647	46656
247	17719	46585
248	17789	46511
249	17863	46443
250	17945	46401
251	18008	46306
252	18070	46212
253	18131	46113
254	18194	46021
255	18259	45933
256	18324	45846
257	18387	45754
258	18447	45656
259	18508	45559
260	18566	45454
261	18623	45351
262	18684	45253
263	18744	45156
264	18802	45055
265	18862	44957
266	18923	44864
267	18983	44766
268	19041	44666
269	19101	44570
270	19173	44501
271	19230	44399
272	19299	44324
273	19357	44224
274	19419	44135
275	19476	44034
276	19534	43935
277	19597	43848
278	19662	43764
279	19732	43692
280	19795	43606
281	19857	43518
282	19919	43429
283	19981	43340
284	20040	43245
285	20100	43151
286	20158	43057
287	20218	42964
288	20281	42878
289	20351	42807
290	20419	42733
291	20487	42659
292	20553	42580
293	20618	42500
294	20686	42424
295	20752	42345
296	20825	42281
297	20891	42204
298	20957	42125
299	21016	42033
300	21077	41945
301	21136	41853
302	21197	41765
303	21270	41701
304	21329	41610
305	21391	41523
306	21449	41430
307	21508	41340
308	21570	41256
309	21630	41167
310	21689	41077
311	21753	40996
312	21811	40904
313	21870	40816
314	21948	40762
315	22006	40670
316	22068	40586
317	22127	40498
318	22187	40409
319	22249	40326
320	22327	40272
321	22403	40215
322	22480	40158
323	22548	40085
324	22617	40014
325	22685	39942
326	22750	39866
327	22816	39789
328	22885	39719
329	22949	39640
330	23011	39558
331	23079	39484
332	23143	39406
333	23203	39320
334	23262	39234
335	23319	39144
336	23386	39069
337	23443	38979
338	23501	38892
339	23559	38804
340	23620	38720
341	23681	38637
342	23740	38552
343	23798	38464
344	23875	38408
345	24007	38439
346	24067	38355
347	24134	38282
348	24196	38201
349	24258	38120
350	24317	38035
351	24381	37957
352	24453	37893
353	24527	37830
354	24594	37757
355	24664	37689
356	24725	37607
357	24787	37527
358	24854	37455
359	24914	37372
360	24983	37302
361	25041	37216
362	25100	37131
363	25157	37044
364	25215	36960
365	25286	36893
366	25355	36824
367	25417	36744
368	25488	36678
369	25554	36605
370	25620	36531
371	25687	36459
372	25753	36386
373	25818	36311
374	25887	36242
375	25948	36162
376	26010	36083
377	26069	36000
378	26127	35916
379	26189	35838
380	26247	35754
381	26311	35679
382	26380	35609
383	26438	35526
384	26497	35444
385	26554	35360
386	26610	35274
387	26673	35198
388	26729	35112
389	26788	35030
390	26848	34950
391	26907	34869
392	26964	34785
393	27022	34704
394	27096	34642
395	27156	34562
396	27213	34479
397	27272	34399
398	27330	34317
399	27392	34240
400	27452	34160
401	27511	34082
402	27571	34002
403	27629	33921
404	27687	33840
405	27756	33772
406	27833	33714
407	27894	33637
408	27953	33557
409	28010	33476
410	28068	33395
411	28133	33323
